subject_id,group,lux_1,lux_2,lux_3,lux_4,lux_5,lux_6,CO2_ppm,CO_ppm,COV_ppm,part_pm10_ugm3,part_pm025_ugm3,t_celsius,rel_humidity_perc
80,1,700,790,699,726,645,nan,864,0,0.31,17,7,26.4,34.7
81,1,821,828,736,824,817,nan,864,0,0.31,17,7,26.4,34.7
82,1,747,762,645,755,845,nan,864,0,0.31,17,7,26.4,34.7
83,1,927,1000,729,920,906,nan,538,0,0.08,35,24,26.1,30.1
84,1,692,735,554,637,602,nan,864,0,0.31,17,7,26.4,34.7
86,2,415,408,435,523,557,481,589,0,0.34,16,13,24.9,48
87,2,513,408,253,269,404,527,589,0,0.34,16,13,24.9,48
85,2,420,515,491,422,448,461,518,0,0.18,10,10,24.9,50.2
89,2,551,318,395,519,544,482,589,0,0.34,16,13,24.9,48
90,2,347,338,240,330,328,335,589,0,0.34,16,13,24.9,48
100,3,456,377,381,304,310,320,707,0,0.39,10,12,23.4,53.5
95,3,376,319,371,345,294,355,707,0,0.39,10,12,23.4,53.5
110,4,214,236,264,202,162,251,758,0,0.17,43,45,25.1,54.2
109,4,351,369,335,318,246,254,918,0,0.07,25,22,24.8,48.8
103,4,231,244,262,145,329,376,841,0,0.22,20,19,24.4,52.5
104,4,408,304,427,380,456,431,918,0,0.07,25,22,24.8,48.8
105,4,355,418,371,460,291,337,918,0,0.07,25,22,24.8,48.8
106,4,119,134,106,110,59,99,918,0,0.07,25,22,24.8,48.8
107,4,112,136,129,128,130,113,491,0,0.06,13,13,24.4,46.5
108,4,451,452,444,463,491,192,918,0,0.07,25,22,24.8,48.8
120,5,510,510,519,461,432,397,625,0,0.36,40,39,24.3,53.6
113,5,386,324,323,281,213,213,589,0,0.34,16,13,24.9,48
114,5,357,413,391,270,360,381,589,0,0.34,16,13,24.9,48
115,5,124,148,180,217,230,204,589,0,0.34,16,13,24.9,48
116,5,202,271,355,339,385,235,758,0,0.17,43,45,25.1,54.2
117,5,464,424,375,483,412,408,625,0,0.36,40,39,24.3,53.6
118,5,468,310,455,371,263,186,566,0,0.16,51,45,25,50.4
122,5,376,363,341,337,478,498,625,0,0.36,40,39,24.3,53.6
93,6,391,516,320,322,405,340,707,0,0.39,10,12,23.4,53.5
123,6,545,511,482,440,522,502,625,0,0.36,40,39,24.3,53.6
97,6,286,296,286,247,331,206,707,0,0.39,10,12,23.4,53.5
128,6,401,423,373,280,442,329,566,0,0.16,51,45,25,50.4
126,6,604,548,470,449,577,479,707,0,0.39,10,12,23.4,53.5
125,6,490,476,384,363,316,340,625,0,0.36,40,39,24.3,53.6
112,6,499,519,495,333,427,293,589,0,0.34,16,13,24.9,48
99,7,286,296,286,247,331,206,707,0,0.39,10,12,23.4,53.5
127,7,442,352,522,554,453,489,625,0,0.36,40,39,24.3,53.6
129,7,821,828,736,824,817,nan,864,0,0.31,17,7,26.4,34.7
